+++++++2025-05-20 13:14:30,303 - uvicorn.error - INFO - Started server process [108743]
2025-05-20 13:32:55,081 - uvicorn.error - INFO - Application shutdown complete.
2025-05-20 13:32:55,082 - uvicorn.error - INFO - Finished server process [122375]
2025-05-20 13:43:19,491 - uvicorn.error - INFO - Started server process [131140]
2025-05-20 13:43:19,492 - uvicorn.error - INFO - Waiting for application startup.
2025-05-20 13:43:19,508 - uvicorn.error - INFO - Application startup complete.
2025-05-20 13:43:21,714 - uvicorn.error - INFO - Shutting down
2025-05-20 13:43:21,816 - uvicorn.error - INFO - Waiting for application shutdown.
2025-05-20 13:43:21,817 - uvicorn.error - INFO - Application shutdown complete.
2025-05-20 13:43:21,818 - uvicorn.error - INFO - Finished server process [131140]
2025-05-20 13:43:22,636 - uvicorn.error - INFO - Started server process [131243]
2025-05-20 13:43:22,637 - uvicorn.error - INFO - Waiting for application startup.
2025-05-20 13:43:22,652 - uvicorn.error - INFO - Application startup complete.
2025-05-20 13:43:26,566 - uvicorn.error - INFO - Shutting down
2025-05-20 13:43:26,668 - uvicorn.error - INFO - Waiting for application shutdown.
2025-05-20 13:43:26,671 - uvicorn.error - INFO - Application shutdown complete.
2025-05-20 13:43:26,671 - uvicorn.error - INFO - Finished server process [131243]
2025-05-20 13:43:28,375 - uvicorn.error - INFO - Started server process [131334]
2025-05-20 13:43:28,375 - uvicorn.error - INFO - Waiting for application startup.
2025-05-20 13:43:28,390 - uvicorn.error - INFO - Application startup complete.
2025-05-20 13:43:33,651 - uvicorn.access - INFO - 127.0.0.1:53546 - "GET /api/v1/users?skip=0&limit=100 HTTP/1.1" 200
2025-05-20 13:46:13,208 - uvicorn.error - INFO - Shutting down
2025-05-20 13:46:13,309 - uvicorn.error - INFO - Waiting for application shutdown.
2025-05-20 13:46:13,310 - uvicorn.error - INFO - Application shutdown complete.
2025-05-20 13:46:13,310 - uvicorn.error - INFO - Finished server process [131334]
2025-05-20 13:46:14,184 - uvicorn.error - INFO - Started server process [133459]
2025-05-20 13:46:14,184 - uvicorn.error - INFO - Waiting for application startup.
2025-05-20 13:46:14,201 - uvicorn.error - INFO - Application startup complete.
2025-05-20 13:47:06,661 - uvicorn.error - INFO - Shutting down
2025-05-20 13:47:06,762 - uvicorn.error - INFO - Waiting for application shutdown.
2025-05-20 13:47:06,763 - uvicorn.error - INFO - Application shutdown complete.
2025-05-20 13:47:06,764 - uvicorn.error - INFO - Finished server process [133459]
2025-05-20 13:47:08,679 - uvicorn.error - INFO - Started server process [134158]
2025-05-20 13:47:08,680 - uvicorn.error - INFO - Waiting for application startup.
2025-05-20 13:47:08,696 - uvicorn.error - INFO - Application startup complete.
2025-05-20 13:48:18,902 - uvicorn.error - INFO - Shutting down
2025-05-20 13:48:19,004 - uvicorn.error - INFO - Waiting for application shutdown.
2025-05-20 13:48:19,006 - uvicorn.error - INFO - Application shutdown complete.
2025-05-20 13:48:19,007 - uvicorn.error - INFO - Finished server process [134158]
2025-05-20 13:48:19,856 - uvicorn.error - INFO - Started server process [135110]
2025-05-20 13:48:19,856 - uvicorn.error - INFO - Waiting for application startup.
2025-05-20 13:48:19,872 - uvicorn.error - INFO - Application startup complete.
2025-05-20 13:49:17,252 - uvicorn.error - INFO - Shutting down
2025-05-20 13:49:17,353 - uvicorn.error - INFO - Waiting for application shutdown.
2025-05-20 13:49:17,354 - uvicorn.error - INFO - Application shutdown complete.
2025-05-20 13:49:17,354 - uvicorn.error - INFO - Finished server process [135110]
2025-05-20 13:49:18,101 - uvicorn.error - INFO - Started server process [136004]
2025-05-20 13:49:18,101 - uvicorn.error - INFO - Waiting for application startup.
2025-05-20 13:49:18,117 - uvicorn.error - INFO - Application startup complete.
2025-05-20 13:49:20,725 - uvicorn.error - INFO - Shutting down
2025-05-20 13:49:20,826 - uvicorn.error - INFO - Waiting for application shutdown.
2025-05-20 13:49:20,828 - uvicorn.error - INFO - Application shutdown complete.
2025-05-20 13:49:20,829 - uvicorn.error - INFO - Finished server process [136004]
2025-05-20 13:49:21,600 - uvicorn.error - INFO - Started server process [136107]
2025-05-20 13:49:21,601 - uvicorn.error - INFO - Waiting for application startup.
2025-05-20 13:49:21,616 - uvicorn.error - INFO - Application startup complete.
2025-05-20 13:49:22,118 - uvicorn.error - INFO - Shutting down
2025-05-20 13:49:22,219 - uvicorn.error - INFO - Waiting for application shutdown.
2025-05-20 13:49:22,219 - uvicorn.error - INFO - Application shutdown complete.
2025-05-20 13:49:22,220 - uvicorn.error - INFO - Finished server process [136107]
2025-05-20 13:49:23,010 - uvicorn.error - INFO - Started server process [136143]
2025-05-20 13:49:23,010 - uvicorn.error - INFO - Waiting for application startup.
2025-05-20 13:49:23,026 - uvicorn.error - INFO - Application startup complete.
2025-05-20 13:49:43,589 - uvicorn.error - INFO - Shutting down
2025-05-20 13:49:43,691 - uvicorn.error - INFO - Waiting for application shutdown.
2025-05-20 13:49:43,693 - uvicorn.error - INFO - Application shutdown complete.
2025-05-20 13:49:43,694 - uvicorn.error - INFO - Finished server process [136143]
2025-05-20 13:49:44,475 - uvicorn.error - INFO - Started server process [136445]
2025-05-20 13:49:44,475 - uvicorn.error - INFO - Waiting for application startup.
2025-05-20 13:49:44,492 - uvicorn.error - INFO - Application startup complete.
2025-05-20 13:49:51,111 - uvicorn.error - INFO - Shutting down
2025-05-20 13:49:51,212 - uvicorn.error - INFO - Waiting for application shutdown.
